variablename,sites,samples,replacement
"?Microthyrium (type 8, HdV)",1,15,Other
Abies,72,1822,Abies
Abies alba,23,836,Abies
Acacia,1,1,Acacia
Acer,78,1157,Acer
Achillea,1,1,Achillea
Achillea-type,15,216,Achillea
Aconitum,11,76,Aconitum
Aconitum-type,1,3,Aconitum
"Acrotritia ardua (type 106, HdV)",1,1,Other
Actaea spicata,2,3,Actaea
Actinopeltis undiff.,2,7,Other
Adenostyles alliariae,1,1,Other
Adiantum capillus-veneris,2,2,Other
Adonis aestivalis-type,1,3,Adonis
Adonis aestivalis/A. flammea,1,5,Adonis
Adonis annua-type,1,5,Adonis
Aesculus,2,3,Aesculus
Aethusa cynapium,1,1,Other
Agrimonia,1,1,Agrimonia
Agrostemma githago,10,29,Agrostemma githago
Ailanthus,2,10,Ailanthus
Alchemilla,5,23,Alchemilla
Alchemilla-type,4,56,Alchemilla
Algae,7,18,Algae
"Algae (type 209, HdV)",1,1,Algae
"Algae? (type 225, HdV)",1,1,Algae
Alisma,13,51,Alisma
Alisma plantago-aquatica,1,8,Alisma
Allium,3,46,Allium
Allium-type,4,6,Allium
Alnus,79,3219,Alnus
Alnus glutinosa,1,20,Alnus
Alnus glutinosa-type,5,172,Alnus
Alnus glutinosa/A. incana,1,94,Alnus
Alnus undiff.,1,130,Alnus
Alnus viridis,8,190,Alnus
Alnus viridis-type,1,5,Alnus
"Alona rustica (type 72, HdV)",1,1,Other
Amaranthaceae,85,1977,Amaranthaceae
Ambrosia,5,6,Ambrosia
Ambrosia-type,5,26,Ambrosia
Amphitrema,5,119,Amphitrema
Amphitrema sp.,1,2,Amphitrema
Amphitrema undiff.,1,1,Amphitrema
Amphitrema wrightianum,5,18,Amphitrema
Anagallis,2,3,Anagallis
Anagallis arvensis,1,2,Anagallis
Anagallis arvensis-type,2,7,Anagallis
Anagallis tenella-type,1,1,Anagallis
Anagallis-type,1,1,Anagallis
Anchusa/Pulmonaria,1,1,Other
Andromeda,1,1,Other
Andromeda polifolia,1,3,Other
Androsace elongata-type,2,11,Other
